iteration,roc_weighted,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
183,0.9930478827310231,2022-09-20 00:25:09.177375,2022-09-20 00:25:25.646974,0 days 00:00:16.469599,0.45117759780347294,0.652697345304521,0.06729573089116253,0.21010413924260277,7,5,613,1.4151064905421942,2.4957399405744187,0.6455621636856372,COMPLETE
210,0.9930412192666973,2022-09-20 00:33:11.303755,2022-09-20 00:33:27.206490,0 days 00:00:15.902735,0.4577395404901576,0.6747353662898495,0.07925193155896496,0.20218516443682277,7,5,595,1.5805474267997441,2.4836853124992935,0.6283394323566062,COMPLETE
226,0.9930247097443696,2022-09-20 00:37:41.120085,2022-09-20 00:37:57.527296,0 days 00:00:16.407211,0.4535126536713568,0.6565599807679648,0.04032155689415076,0.2004175417447387,7,5,615,1.502736460886463,2.530822989750597,0.6445930926649159,COMPLETE
156,0.9930114810716625,2022-09-20 00:17:25.982544,2022-09-20 00:17:42.076154,0 days 00:00:16.093610,0.4556929370602909,0.6577059814499601,0.03303692894763263,0.20154017188292273,7,5,609,1.3531741616256148,2.484083669504848,0.6366556745415108,COMPLETE
238,0.9930081475849292,2022-09-20 00:41:06.094092,2022-09-20 00:41:21.990567,0 days 00:00:15.896475,0.45000141978746494,0.6590956327127356,0.05347787376920843,0.20027497906143493,7,5,598,1.5723850564067872,2.50183517948008,0.6388881801175825,COMPLETE
173,0.9930048526987452,2022-09-20 00:22:21.041728,2022-09-20 00:22:39.322143,0 days 00:00:18.280415,0.4485500796406296,0.6435499802842305,0.047517364770652576,0.20548353903049893,7,5,621,1.4230424508365638,2.533679449386499,0.6417482621723111,COMPLETE
208,0.9929999086148988,2022-09-20 00:32:36.670717,2022-09-20 00:32:53.912705,0 days 00:00:17.241988,0.4642506764376557,0.6624193506246425,0.045336829045890724,0.20028689068585606,7,5,594,1.5754632344236352,2.515136433937557,0.6498225431233307,COMPLETE
75,0.9929998980874765,2022-09-19 23:53:00.338415,2022-09-19 23:53:18.088872,0 days 00:00:17.750457,0.45368805004696955,0.6477434588637103,0.13470127532832155,0.20168215162245473,7,5,641,1.46331346621376,2.435403775394914,0.6499137099155974,COMPLETE
187,0.9929998910691948,2022-09-20 00:26:15.143498,2022-09-20 00:26:31.053977,0 days 00:00:15.910479,0.45356467346492974,0.6414149923740496,0.10733894745387608,0.2106330110717818,7,5,603,1.420596394505282,2.5080712434075827,0.6337593130428364,COMPLETE
155,0.9929998700143496,2022-09-20 00:17:09.548176,2022-09-20 00:17:25.982168,0 days 00:00:16.433992,0.45521812121129435,0.6544696315426585,0.03300223070318602,0.20001749930996024,7,5,607,1.3572750888634078,2.4862077362551687,0.6371009200927523,COMPLETE
217,0.9929949785676163,2022-09-20 00:35:05.464825,2022-09-20 00:35:21.369664,0 days 00:00:15.904839,0.46306521906755516,0.6663984252251737,0.03324447421246776,0.20480212530422132,7,5,600,1.573004741645176,2.4363591129889115,0.6360158853905016,COMPLETE
242,0.9929949048756583,2022-09-20 00:42:13.425089,2022-09-20 00:42:29.236226,0 days 00:00:15.811137,0.4465856304057353,0.6585414165171087,0.102464793062701,0.20193618868822913,7,5,597,1.6953828479899962,2.4452291816132647,0.6387956852918334,COMPLETE
243,0.9929899467552488,2022-09-20 00:42:29.236660,2022-09-20 00:42:45.354325,0 days 00:00:16.117665,0.4461728645973957,0.6577967894004622,0.12450422977368776,0.20222292943361633,7,5,594,1.7486486694383672,2.4412173926120744,0.6309212187477602,COMPLETE
231,0.9929883080850089,2022-09-20 00:39:05.987316,2022-09-20 00:39:22.222510,0 days 00:00:16.235194,0.4576619330412246,0.6598219461040598,0.06296020759995835,0.20209955601102492,7,5,617,1.5189899123403448,2.4783336556763365,0.6498839976456371,COMPLETE
232,0.9929866237959379,2022-09-20 00:39:22.222954,2022-09-20 00:39:38.787848,0 days 00:00:16.564894,0.45943764615551946,0.6595332945453959,0.05417686939466454,0.20018231266773215,7,5,617,1.5234530242580813,2.4864485738964235,0.649418336093222,COMPLETE
196,0.9929816340932607,2022-09-20 00:29:02.561685,2022-09-20 00:29:21.096921,0 days 00:00:18.535236,0.4606732534866318,0.6500693113723818,0.017626951662881606,0.20530174918555333,7,5,615,1.4699002373261292,2.481438904765647,0.641118007736212,COMPLETE
124,0.9929783672802036,2022-09-20 00:07:51.722310,2022-09-20 00:08:08.181608,0 days 00:00:16.459298,0.4495501406368838,0.6534325839013501,0.001251259746388969,0.2043220753155174,7,5,624,1.3737747418393376,2.534303418496557,0.6340813305609353,COMPLETE
240,0.9929783672802036,2022-09-20 00:41:40.059889,2022-09-20 00:41:57.531439,0 days 00:00:17.471550,0.44907181366041693,0.6579348781746444,0.11259601283206772,0.204734920344427,7,5,600,1.6712097621445603,2.458405984310026,0.6379872122916959,COMPLETE
162,0.9929783216613726,2022-09-20 00:19:11.551129,2022-09-20 00:19:28.157557,0 days 00:00:16.606428,0.45248768360671154,0.5007747522304951,0.015289465114465897,0.20037431924800908,7,5,619,1.3616077009890382,2.525436938891461,0.6448102200184153,COMPLETE
81,0.9929767566830907,2022-09-19 23:54:42.934359,2022-09-19 23:55:01.514193,0 days 00:00:18.579834,0.46144148337281066,0.6582767675988106,0.05534318110669976,0.20362378635518605,7,5,626,1.3381824299095815,2.4787662052918504,0.643158494229948,COMPLETE
203,0.9929766900094144,2022-09-20 00:31:04.487222,2022-09-20 00:31:20.503863,0 days 00:00:16.016641,0.45311362325827786,0.6691202344116073,0.05406589418608224,0.2038357703053109,7,5,603,1.522949502238495,2.4405169596500014,0.6440109950122079,COMPLETE
198,0.9929766865002737,2022-09-20 00:29:38.731920,2022-09-20 00:29:54.996367,0 days 00:00:16.264447,0.4601595410307579,0.6649676267074237,0.04207537282573527,0.20513511446123464,7,5,598,1.5073975320790913,2.4877714296079865,0.6392988354489568,COMPLETE
213,0.9929766865002737,2022-09-20 00:34:01.214760,2022-09-20 00:34:17.827047,0 days 00:00:16.612287,0.4791268056268556,0.6809646645793311,0.0785582707604586,0.20018035076674873,7,5,596,1.523652874217289,2.4662905919210556,0.6499691560321501,COMPLETE
122,0.9929750829214424,2022-09-20 00:07:17.188286,2022-09-20 00:07:34.254245,0 days 00:00:17.065959,0.4496392391464602,0.6526960363489676,0.019613572330804324,0.20075573038665387,7,5,641,1.4631700035194024,2.5598395679075816,0.6416350631284661,COMPLETE
73,0.9929750337934703,2022-09-19 23:52:23.902270,2022-09-19 23:52:42.548353,0 days 00:00:18.646083,0.47723808262326106,0.6544210664420769,0.08348058051575263,0.2001062669705331,7,5,649,1.4425796590825657,2.4442436420897797,0.6282666434952328,COMPLETE
285,0.992973437232921,2022-09-20 00:55:06.026396,2022-09-20 00:55:22.944312,0 days 00:00:16.917916,0.46867976379915327,0.6439202348853514,0.01323845011358711,0.20655174278966665,7,5,639,1.4448758374995885,2.5148621766191175,0.6385558145825512,COMPLETE
159,0.9929734302146391,2022-09-20 00:18:17.660410,2022-09-20 00:18:35.877841,0 days 00:00:18.217431,0.4475677943837834,0.6467588336463328,0.016145681136649086,0.20038570057363003,7,5,616,1.396501783118017,2.522104927952853,0.6397904938825043,COMPLETE
