iteration,roc_weighted,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
91,0.9961535683003391,2022-09-17 20:05:38.704849,2022-09-17 20:06:07.437624,0 days 00:00:28.732775,0.4837090604373459,0.7208013600465878,0.4045302646841799,0.2868540558126541,10,7,477,2.2222982933817477,2.98427402129868,0.5600531847640517,COMPLETE
97,0.9961287454632108,2022-09-17 20:08:22.555609,2022-09-17 20:09:04.263776,0 days 00:00:41.708167,0.4870939144850625,0.7065583458940871,0.4793917750474347,0.2815939950363781,10,6,476,1.798567099727192,2.868817306238036,0.5207751809730258,COMPLETE
86,0.9960658485698117,2022-09-17 20:03:44.338316,2022-09-17 20:04:10.826918,0 days 00:00:26.488602,0.47651262908029496,0.7212186855603838,0.49743238165123577,0.29966850177532073,10,7,453,2.4023519219924307,2.9889302863860205,0.5634645329418425,COMPLETE
73,0.9960410522455561,2022-09-17 19:58:44.163249,2022-09-17 19:59:04.631328,0 days 00:00:20.468079,0.42561578453528737,0.8671565340477722,0.14330661504456393,0.2810318186802075,10,10,484,2.507031510295408,2.65985943077606,0.5774760339127332,COMPLETE
84,0.9960393671589778,2022-09-17 20:03:02.993241,2022-09-17 20:03:31.647264,0 days 00:00:28.654023,0.47586634514883813,0.7786517601646257,0.4231457991086243,0.2997359600775922,10,8,454,2.3655082413248696,2.998393609307691,0.5450874007661022,COMPLETE
93,0.9960029791035223,2022-09-17 20:06:35.285983,2022-09-17 20:07:03.895243,0 days 00:00:28.609260,0.48538487998278457,0.6796377078898184,0.584752149211228,0.29063185343503284,10,7,487,2.0243955286179887,2.744982641993884,0.5111061314899275,COMPLETE
83,0.9959103083362769,2022-09-17 20:02:32.966218,2022-09-17 20:03:02.992899,0 days 00:00:30.026681,0.47938615367840476,0.7854703913032592,0.3863869484369494,0.2942260307676615,10,9,487,2.3765269171305494,2.710264966827378,0.5480846932591488,COMPLETE
47,0.9958375916507703,2022-09-17 19:50:01.023242,2022-09-17 19:50:22.158268,0 days 00:00:21.135026,0.36175769209370967,0.8273781816566947,0.0172777571949234,0.28371347745416714,10,10,496,2.3911448209775097,2.814129152286826,0.597673192324725,COMPLETE
92,0.9956043059848665,2022-09-17 20:06:07.437938,2022-09-17 20:06:35.285676,0 days 00:00:27.847738,0.4860079293100764,0.6987022770478419,0.6104486016167758,0.2902411470017813,10,7,463,2.2460348594413393,2.711943494905809,0.5118244570613589,COMPLETE
88,0.9955977466574769,2022-09-17 20:04:34.942126,2022-09-17 20:05:01.841332,0 days 00:00:26.899206,0.4580113255662983,0.7628987339754125,0.4859519090143064,0.29988806435126697,10,7,427,2.2263512406514643,2.7051402986287543,0.5569614775023215,COMPLETE
72,0.9955895278421449,2022-09-17 19:58:25.571257,2022-09-17 19:58:44.162949,0 days 00:00:18.591692,0.4258505991602679,0.874163268022291,0.7058595257807696,0.280883964745487,10,8,464,2.7710126273420084,2.657900161833132,0.6829915730835254,COMPLETE
94,0.9955100497828744,2022-09-17 20:07:03.895565,2022-09-17 20:07:32.341155,0 days 00:00:28.445590,0.45706140404232054,0.670351170986855,0.6301463184695644,0.28892943132936444,10,7,481,2.220174175797702,2.6988029405136307,0.5084763178940276,COMPLETE
49,0.9954687975432146,2022-09-17 19:50:43.151952,2022-09-17 19:51:04.850309,0 days 00:00:21.698357,0.3580960603670563,0.8426299741556721,0.029326800762100452,0.25409598888487595,10,10,496,2.5653345117495276,2.3493118849617365,0.5992701607460692,COMPLETE
99,0.9954125047748176,2022-09-17 20:09:40.387784,2022-09-17 20:09:58.994628,0 days 00:00:18.606844,0.4863912006184965,0.6774211822642888,0.2341225386020568,0.29223009290435803,10,7,426,1.99503285603715,2.6036429620649306,0.5366631467989678,COMPLETE
82,0.995404238419162,2022-09-17 20:02:06.942006,2022-09-17 20:02:32.965953,0 days 00:00:26.023947,0.4761906145286676,0.7776528228144923,0.4007602640426888,0.2746864889793008,10,8,453,2.452742844236467,2.9651090334777885,0.5809510370601683,COMPLETE
45,0.995359569380259,2022-09-17 19:49:32.982129,2022-09-17 19:49:52.661120,0 days 00:00:19.678991,0.37680421506381817,0.7902664368232089,0.42112844077356093,0.28458697322564575,10,9,474,2.1908280625657666,2.9267323261877634,0.552874969998944,COMPLETE
53,0.9952504554969274,2022-09-17 19:52:07.076351,2022-09-17 19:52:44.042491,0 days 00:00:36.966140,0.40480690305771927,0.802805295521024,0.35309866126601464,0.2574390629125973,10,10,499,2.744630583901529,2.3711797798453698,0.5847243312557721,COMPLETE
95,0.9951262681723267,2022-09-17 20:07:32.341464,2022-09-17 20:07:58.215869,0 days 00:00:25.874405,0.48723142338250175,0.6965902169703795,0.7207223274441448,0.2923034647949094,10,6,438,2.0084876308425574,2.779326563997229,0.4775726676537138,COMPLETE
44,0.9950981601860817,2022-09-17 19:49:13.275554,2022-09-17 19:49:32.981871,0 days 00:00:19.706317,0.39447992614118055,0.7753387245889946,0.44246321784163734,0.2808130021134931,10,8,469,2.1933866494859915,2.3619301699135398,0.5264387474028378,COMPLETE
50,0.9950966021784446,2022-09-17 19:51:04.850583,2022-09-17 19:51:25.993684,0 days 00:00:21.143101,0.34955391955796505,0.8492508789762072,0.014501231671402832,0.2537108488540314,10,10,496,2.589978966125494,2.3510927581744716,0.6102228271052881,COMPLETE
75,0.9950833783864119,2022-09-17 19:59:21.666797,2022-09-17 19:59:40.488656,0 days 00:00:18.821859,0.47845577903669245,0.7540517003158118,0.5621282419879539,0.2720433314180926,10,8,445,2.4800591127150238,2.9155681460920295,0.5800475029203992,COMPLETE
51,0.9950006316342905,2022-09-17 19:51:25.994029,2022-09-17 19:51:47.225553,0 days 00:00:21.231524,0.3510548995979405,0.8435924521966038,0.0011334448123741514,0.2540862727019478,10,10,498,2.5773875444861267,2.389739122265329,0.6063525535485365,COMPLETE
56,0.9949411597682675,2022-09-17 19:53:18.138774,2022-09-17 19:53:37.312633,0 days 00:00:19.173859,0.3933071236651332,0.8217060317248501,0.7486174284547992,0.26108296382882257,10,8,462,2.7594622549844026,2.1859606603118507,0.6289758950633794,COMPLETE
71,0.9949278948355703,2022-09-17 19:58:06.336163,2022-09-17 19:58:25.570946,0 days 00:00:19.234783,0.4012174465684765,0.8228141013149354,0.7965954275940028,0.26223108781415366,10,8,484,2.7448076682234004,2.1733292421329002,0.6230123227267982,COMPLETE
64,0.9948898235220106,2022-09-17 19:56:04.568078,2022-09-17 19:56:24.781250,0 days 00:00:20.213172,0.3128520756573872,0.8410590555025189,0.2703680103749063,0.2591517159277618,10,10,482,2.1564545519580594,2.013015096522162,0.6088918781684308,COMPLETE
48,0.9948418921899158,2022-09-17 19:50:22.158528,2022-09-17 19:50:43.151649,0 days 00:00:20.993121,0.3581757830320265,0.8315694176963516,0.041855483496957446,0.2533124396771925,10,10,493,2.619833156290014,2.8258056254889325,0.5996163521469571,COMPLETE
90,0.9948202987334479,2022-09-17 20:05:12.650294,2022-09-17 20:05:38.704516,0 days 00:00:26.054222,0.46990043527594205,0.7236378956581274,0.7013517097197672,0.27505168700810195,10,7,452,2.346929956265151,2.8489970375131763,0.5640413391288894,COMPLETE
81,0.9947409623809106,2022-09-17 20:01:39.245973,2022-09-17 20:02:06.941712,0 days 00:00:27.695739,0.405519043308493,0.7510548777449076,0.5666000495346797,0.2712056776887192,10,8,445,2.511486394641536,2.9125018181045106,0.5747159476767447,COMPLETE
78,0.9947276864773696,2022-09-17 20:00:43.877676,2022-09-17 20:01:05.846213,0 days 00:00:21.968537,0.29082467395984063,0.8571283021026037,0.6980511474520645,0.28162353782602034,10,9,487,2.683121639941042,2.6572475361523304,0.591164812561942,COMPLETE
61,0.9946996424877137,2022-09-17 19:54:41.485071,2022-09-17 19:55:01.474473,0 days 00:00:19.989402,0.3590677445104899,0.8469081536627042,0.0947960561903906,0.25435702273461863,10,10,470,2.662804729923117,2.443213367046777,0.6204750623985116,COMPLETE
