iteration,recall,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
288,0.9996952037662213,2022-09-19 17:25:28.679953,2022-09-19 17:26:03.111776,0 days 00:00:34.431823,0.5808796419532374,0.7860308165967022,0.13247410489683276,0.2485437929723827,15.0,2.0,504.0,0.20560075088109114,1.34560431470589,0.6324862792289495,COMPLETE
295,0.9996918907636803,2022-09-19 17:29:05.355529,2022-09-19 17:29:37.691992,0 days 00:00:32.336463,0.5901738510332386,0.7949644019532174,0.1585301941664767,0.2573435179758926,15.0,2.0,481.0,0.23641104661699747,1.4170787150969413,0.6113453358810101,COMPLETE
294,0.9996918907636803,2022-09-19 17:28:31.736687,2022-09-19 17:29:05.355128,0 days 00:00:33.618441,0.587072574465581,0.793957011989486,0.13962199809109832,0.2546754468777757,15.0,2.0,502.0,0.20610318080817236,1.3954941557392768,0.6111294157424859,COMPLETE
174,0.9996861309527743,2022-09-19 16:01:50.638607,2022-09-19 16:02:39.005949,0 days 00:00:48.367342,0.5804034452375251,0.8062622414544364,0.0966331802836514,0.22542347497120038,15.0,3.0,689.0,0.9454704822911562,1.8722231762832728,0.4393460006870506,COMPLETE
286,0.9996852647585981,2022-09-19 17:24:23.349666,2022-09-19 17:24:55.186874,0 days 00:00:31.837208,0.58192399219729,0.7987898294383623,0.12520645963646537,0.2607642326037899,15.0,2.0,507.0,0.21865413943736767,0.5254531089664249,0.6330652403903889,COMPLETE
263,0.999681951756057,2022-09-19 17:12:17.216954,2022-09-19 17:12:59.872016,0 days 00:00:42.655062,0.5642208135219399,0.7947941299641548,0.09725499496086087,0.23214310346282957,15.0,2.0,692.0,0.269407685476835,0.5912981676588388,0.4166114192145954,COMPLETE
251,0.999679523183359,2022-09-19 16:59:22.715726,2022-09-19 17:00:03.010219,0 days 00:00:40.294493,0.581513203432591,0.8201153900675964,0.14099726537245041,0.24538990577329378,15.0,2.0,691.0,0.629011295363644,0.6001915406225564,0.4001455907954174,COMPLETE
289,0.9996753257509748,2022-09-19 17:26:03.112194,2022-09-19 17:26:35.070444,0 days 00:00:31.958250,0.5927781604427508,0.8083108033248237,0.1656427620602256,0.25267259784589896,15.0,2.0,506.0,0.18795576097644112,1.3365777141857063,0.6414149691696095,COMPLETE
161,0.9996729154139438,2022-09-19 15:51:58.497951,2022-09-19 15:52:47.496556,0 days 00:00:48.998605,0.5975993060980824,0.7529864492256394,0.05441411378179276,0.22935655259517299,15.0,3.0,685.0,1.1449436878063102,1.2984179894593404,0.43570679231550985,COMPLETE
285,0.9996686997458927,2022-09-19 17:23:47.543225,2022-09-19 17:24:23.349222,0 days 00:00:35.805997,0.5817421505549181,0.805107318869536,0.11086826846393971,0.24640960548072138,15.0,2.0,509.0,0.3265178073595229,1.095756183229169,0.6303750680535711,COMPLETE
