iteration,logloss,datetime_start,datetime_complete,duration,bagging_freq,colsample_bytree,lambda_l1,lambda_l2,learning_rate,max_depth,min_child_samples,min_gain_to_split,n_estimators,num_leaves,subsample,state
843,0.008495173050732639,2022-11-09 11:56:59.005979,2022-11-09 12:00:17.672499,0 days 00:03:18.666520,9,0.878277507693008,5.255903820573677e-08,0.005095957109154312,0.09968311861639294,12,250,1.0062350795323771,400,500,0.8992734856248441,COMPLETE
908,0.008504413167000013,2022-11-09 12:24:34.113709,2022-11-09 12:27:51.321102,0 days 00:03:17.207393,9,0.8904786848570895,1.712588796762781e-08,3.0750117292002854e-05,0.09985446700532655,12,240,1.0079962608409962,400,580,0.7972804850234165,COMPLETE
979,0.00876626389915119,2022-11-09 12:57:39.993860,2022-11-09 13:00:58.062928,0 days 00:03:18.069068,9,0.8818958767524838,3.897024038753903e-08,4.1988172625080075e-05,0.09898742342428152,12,250,1.01295603865826,400,520,0.8808205865557873,COMPLETE
568,0.008829826787733119,2022-11-09 09:51:20.994162,2022-11-09 09:54:46.840009,0 days 00:03:25.845847,9,0.8755135597755997,2.2013010161542864e-08,0.0020670962447387684,0.09957186948483392,12,240,1.2563329319649363,410,520,0.8525677235398198,COMPLETE
563,0.008994551081963693,2022-11-09 09:47:17.094289,2022-11-09 09:50:42.668510,0 days 00:03:25.574221,9,0.8763590797787505,3.982179004535539e-08,0.0013048962682495546,0.0998046815434336,12,240,1.2831035320781259,420,500,0.8527636990034747,COMPLETE
906,0.009062220836169364,2022-11-09 12:21:13.519038,2022-11-09 12:24:24.768006,0 days 00:03:11.248968,9,0.8874096346719924,1.9382958543400357e-08,3.0608554409636725e-05,0.09993282242101338,12,250,1.2566518684949852,400,560,0.811080761808839,COMPLETE
901,0.009099673546414154,2022-11-09 12:15:50.720418,2022-11-09 12:18:58.481163,0 days 00:03:07.760745,10,0.8920214259714557,3.9249261183092005e-08,0.002207484153920149,0.09998172212460073,12,250,1.225711873316144,390,540,0.8277128613893887,COMPLETE
921,0.00943830709941732,2022-11-09 12:32:32.010627,2022-11-09 12:35:51.370872,0 days 00:03:19.360245,9,0.8847484991462661,1.0007568383303152e-08,7.917372128022544e-05,0.0991040080845246,12,260,1.4940138126398386,430,580,0.8204858738542546,COMPLETE
620,0.009608093098029132,2022-11-09 10:13:07.418516,2022-11-09 10:16:06.498670,0 days 00:02:59.080154,10,0.8999342698643163,3.710025093204677e-08,0.002653091132892522,0.0993573605682559,12,230,1.2665138034596999,370,420,0.8666626640744926,COMPLETE
961,0.009675394692226268,2022-11-09 12:48:15.520041,2022-11-09 12:51:20.685676,0 days 00:03:05.165635,9,0.8904768331255452,2.154582394686404e-08,3.0279890251085208e-05,0.09984459160277012,12,270,1.2663821053870774,460,540,0.8622872224950617,COMPLETE
916,0.009709884898046578,2022-11-09 12:28:58.045993,2022-11-09 12:31:53.967909,0 days 00:02:55.921916,9,0.8921319905655745,1.3419409177326896e-08,1.881185785853737e-05,0.09926551229742214,12,250,1.407811654091956,410,600,0.8015530670193324,COMPLETE
670,0.009711042083718063,2022-11-09 10:41:39.400339,2022-11-09 10:44:46.643058,0 days 00:03:07.242719,10,0.8765049871132502,3.149041094415062e-08,0.0029523505302571948,0.0992828459684428,11,230,1.0046228408559772,400,520,0.8398702989513506,COMPLETE
756,0.00984423218848297,2022-11-09 11:18:06.189521,2022-11-09 11:21:15.695749,0 days 00:03:09.506228,10,0.8905273550592451,1.4074709793659046e-08,0.0009241364227639875,0.09929069300188244,11,250,1.217571605094498,410,460,0.8682703080165178,COMPLETE
757,0.009979399228974499,2022-11-09 11:21:15.696917,2022-11-09 11:24:28.368709,0 days 00:03:12.671792,10,0.892932109723734,1.0892162311450525e-08,0.0010954311880969972,0.09960317645611996,11,250,1.2283231598955695,420,460,0.8719737290847008,COMPLETE
598,0.010063448107158143,2022-11-09 10:04:03.267733,2022-11-09 10:07:21.339777,0 days 00:03:18.072044,10,0.8739880656155139,4.463603649394881e-08,0.0012401252312128036,0.09994933774336308,11,280,1.2660838812687283,420,460,0.8383464963324371,COMPLETE
645,0.01015922713856673,2022-11-09 10:29:31.382822,2022-11-09 10:32:27.414038,0 days 00:02:56.031216,10,0.8733488098558128,3.198531846743537e-08,0.001765994460325131,0.09995813655977698,11,270,1.0260547234824875,390,400,0.8260564937031356,COMPLETE
665,0.010162285871835255,2022-11-09 10:38:00.436257,2022-11-09 10:41:00.707587,0 days 00:03:00.271330,10,0.8821636981472565,2.275224178066006e-08,0.002464373131341906,0.09952885530289704,11,240,1.2557323543861465,400,520,0.827898620103626,COMPLETE
562,0.010172203766567073,2022-11-09 09:44:03.641560,2022-11-09 09:47:17.093285,0 days 00:03:13.451725,10,0.8797587166718347,5.29495217015463e-08,0.0012027476921585701,0.0993684442761191,11,260,1.3749709968078871,410,460,0.8643210108273803,COMPLETE
755,0.010203250071732402,2022-11-09 11:15:06.631200,2022-11-09 11:18:06.188376,0 days 00:02:59.557176,10,0.8798305121259987,1.8160231943708218e-08,0.0014742826935770302,0.09966543420558512,11,250,1.2552033587187503,400,420,0.7899050129740862,COMPLETE
558,0.010222269414325105,2022-11-09 09:40:20.098536,2022-11-09 09:43:34.790184,0 days 00:03:14.691648,9,0.8760522515006934,4.347249590519416e-08,0.001487384226817632,0.0999072984381438,11,280,1.3584214922437399,410,480,0.8594898029779421,COMPLETE
546,0.010241321954233221,2022-11-09 09:32:44.370369,2022-11-09 09:35:45.505159,0 days 00:03:01.134790,10,0.8711038482085427,7.137738788600171e-08,0.0010159293023522073,0.09990467167936841,11,260,1.251839454470773,380,460,0.8745800072727192,COMPLETE
827,0.010316155966379694,2022-11-09 11:47:42.277293,2022-11-09 11:50:38.678741,0 days 00:02:56.401448,10,0.884068181289935,6.652182423207321e-08,0.0009668571526898896,0.09933293154682028,11,260,1.0091605750695007,390,400,0.8457930488963954,COMPLETE
722,0.010329928252624836,2022-11-09 11:07:09.139278,2022-11-09 11:10:02.190090,0 days 00:02:53.050812,9,0.8736341253671203,2.7992389317171158e-08,0.0037789535598824107,0.09973232594385706,11,220,1.264022237446478,380,520,0.7989961936734823,COMPLETE
550,0.0104851651491554,2022-11-09 09:36:14.134183,2022-11-09 09:39:15.090808,0 days 00:03:00.956625,10,0.8733642510433536,7.445627739444032e-08,0.0010481106748572884,0.09964491984599193,11,270,1.0224409747832217,380,480,0.8643445234049196,COMPLETE
706,0.01054109389557127,2022-11-09 10:56:50.134506,2022-11-09 10:59:48.594563,0 days 00:02:58.460057,10,0.8777292589061414,5.73702580373974e-08,0.001004500793735761,0.09909789299098258,11,250,1.293347673031135,390,520,0.8259127801484543,COMPLETE
528,0.010562516988857294,2022-11-09 09:21:29.516211,2022-11-09 09:24:35.663184,0 days 00:03:06.146973,10,0.8994658680678503,8.992738315519734e-07,0.0007686876620960079,0.09975688410882355,11,280,1.2784407067355117,390,440,0.8628765925779506,COMPLETE
377,0.010615968404987368,2022-11-09 08:30:55.875327,2022-11-09 08:34:01.981391,0 days 00:03:06.106064,10,0.8814281385474589,2.6689987201655743e-07,0.003938484592863006,0.09949954127816021,11,290,1.2863133492971335,400,360,0.8100323217221366,COMPLETE
352,0.01064051100735735,2022-11-09 08:16:04.291752,2022-11-09 08:19:07.844768,0 days 00:03:03.553016,10,0.8914173692545316,1.0745134026509562e-06,0.0005423466524777439,0.09954457168336564,11,330,1.0342011555612007,390,440,0.8062684772041373,COMPLETE
711,0.010711677256266006,2022-11-09 11:00:27.828308,2022-11-09 11:03:21.046042,0 days 00:02:53.217734,9,0.8911225853924223,1.8525790716090633e-08,0.0031353866094525015,0.09958556536486389,11,250,1.4100893833144907,380,460,0.8124010561108369,COMPLETE
659,0.010755367786512633,2022-11-09 10:34:27.530156,2022-11-09 10:37:14.439649,0 days 00:02:46.909493,10,0.8903934664999723,5.373184543216414e-08,0.0028792945103769925,0.09990280935299857,11,250,1.2689893831851313,370,480,0.8095335680858544,COMPLETE
544,0.010755957659402108,2022-11-09 09:29:33.369840,2022-11-09 09:32:33.359605,0 days 00:02:59.989765,10,0.8765369614916125,5.252197410677727e-08,0.0009492822725388898,0.09974077524611352,11,280,1.2102614743942295,380,480,0.8664767470035941,COMPLETE
638,0.010807016702961046,2022-11-09 10:20:57.808957,2022-11-09 10:23:43.995765,0 days 00:02:46.186808,10,0.8706450764253123,5.557150933366999e-08,0.001825318550657203,0.09990734882642666,11,280,1.197905232423921,370,400,0.8554317023512102,COMPLETE
642,0.010858694719262877,2022-11-09 10:26:29.665625,2022-11-09 10:29:11.801911,0 days 00:02:42.136286,10,0.8842763000928571,5.5762348522161056e-08,0.0017926724749228937,0.09978769211236971,11,260,1.0169695047797078,360,420,0.8430134392627614,COMPLETE
523,0.010978196289445736,2022-11-09 09:17:55.081383,2022-11-09 09:20:52.755791,0 days 00:02:57.674408,10,0.8998083539469126,3.097977641313531e-07,0.0010633524754146849,0.09995036907305717,11,290,1.2801357293030435,370,420,0.8567845933292092,COMPLETE
215,0.011013945213087569,2022-11-09 06:55:12.956736,2022-11-09 06:58:08.369094,0 days 00:02:55.412358,10,0.8795485408630139,4.808706066342723e-07,0.000780588333343812,0.09930021957464064,11,310,1.1925963002720086,380,440,0.7221498364141095,COMPLETE
370,0.011076722213900634,2022-11-09 08:24:24.592299,2022-11-09 08:27:16.132446,0 days 00:02:51.540147,10,0.8831040869967656,0.0966914762243516,0.0003596803194889879,0.09862304557795425,11,300,1.424468209623654,380,400,0.772816881483571,COMPLETE
372,0.011220829165822455,2022-11-09 08:27:25.266991,2022-11-09 08:30:20.100126,0 days 00:02:54.833135,10,0.8787212735823186,2.7591949980634544e-07,0.0019567927747290025,0.09971912531994337,11,300,1.5178890142412884,380,400,0.7963970219672613,COMPLETE
542,0.011270460336306739,2022-11-09 09:26:36.083079,2022-11-09 09:29:24.395668,0 days 00:02:48.312589,10,0.899805257765569,6.39682274552619e-08,0.0007979832518814347,0.09939859878634383,11,300,1.0089021416161488,350,460,0.8649732765666125,COMPLETE
391,0.011378161908918119,2022-11-09 08:36:03.845223,2022-11-09 08:38:50.997104,0 days 00:02:47.151881,10,0.8884739437871263,0.00307247200189619,0.000621036652643358,0.09985798747426478,11,320,1.2728409100493105,360,360,0.8155313388357109,COMPLETE
325,0.011507860349603289,2022-11-09 08:00:49.576552,2022-11-09 08:03:29.830585,0 days 00:02:40.254033,10,0.8741933277277051,1.658997505519665e-07,0.00039256213808864094,0.09897265975084049,11,310,1.0044773776323361,350,560,0.7319862166288075,COMPLETE
482,0.01151894386420751,2022-11-09 09:01:29.921160,2022-11-09 09:04:07.711465,0 days 00:02:37.790305,10,0.8809163381578493,0.07330544315602422,0.001446655872112913,0.09873982183977499,11,270,1.4496839911297492,350,440,0.700176338774531,COMPLETE
172,0.01155509988081436,2022-11-09 06:21:03.548219,2022-11-09 06:23:47.677407,0 days 00:02:44.129188,10,0.8980282410961276,3.9379915162234124e-07,0.00027329703237448497,0.09798035789162053,11,300,1.3015288933467912,350,360,0.713741542998956,COMPLETE
456,0.011578655692034525,2022-11-09 08:53:25.725202,2022-11-09 08:56:06.024213,0 days 00:02:40.299011,10,0.8995978884516341,1.1821460470935802e-07,0.0010436392064054798,0.09895920349123856,11,320,1.2794636224953837,350,440,0.7445013510576317,COMPLETE
234,0.011620940073751746,2022-11-09 07:11:58.906552,2022-11-09 07:14:40.567217,0 days 00:02:41.660665,10,0.8824992287599994,3.9789080704907776e-07,0.0005229066296295047,0.09777299647683921,11,330,1.0087760652185311,350,440,0.7202197323526005,COMPLETE
197,0.01165288071880128,2022-11-09 06:41:12.377259,2022-11-09 06:44:02.186629,0 days 00:02:49.809370,10,0.8871013338503754,1.070588037634848e-07,1.9123337032500182e-07,0.09827217819006535,11,330,1.011426896685155,360,340,0.7599482538340762,COMPLETE
218,0.011686644588508105,2022-11-09 06:58:25.984672,2022-11-09 07:01:16.080248,0 days 00:02:50.095576,10,0.8646388683688547,2.5116240511447075e-07,0.00028770195970144734,0.09864896415379878,11,320,1.6394649446624452,370,380,0.7198939602465364,COMPLETE
174,0.011697200143997978,2022-11-09 06:23:56.590415,2022-11-09 06:26:34.091855,0 days 00:02:37.501440,10,0.8895279624929342,3.1446168075757905e-07,0.0005023137526359134,0.09995815534237923,11,290,1.4306508607827473,340,380,0.7137255663093564,COMPLETE
